happiness_score,gdp_per_capita,freedom,corruption,generosity,year
4.55,0.52107,0.10081,0.1466,0.19062,2015
4.518,0.26673,0.24425,0.17175,0.46187,2015
4.517,0.0,0.22605,0.07625,0.24834,2015
4.514,0.35997,0.38282,0.05907,0.32296,2015
4.512,0.19073,0.4345,0.15048,0.24325,2015
4.507,0.33024,0.4084,0.08786,0.21488,2015
4.436,0.45407,0.24232,0.17461,0.219,2015
4.419,0.36471,0.42215,0.05839,0.37542,2015
4.369,0.44025,0.46074,0.28105,0.18093,2015
4.35,0.76821,0.19847,0.039,0.07855,2015
4.332,0.99355,0.49495,0.12474,0.10461,2015
4.307,0.27108,0.44017,0.19034,0.79588,2015
4.297,0.7419,0.40577,0.38331,0.05547,2015
4.292,0.01604,0.43054,0.06977,0.33128,2015
4.271,0.83524,0.53726,0.09179,0.40828,2015
4.252,0.4225,0.49309,0.05786,0.20618,2015
4.218,1.01216,0.30587,0.00872,0.11921,2015
4.194,0.8818,0.17288,0.06324,0.11291,2015
4.077,0.54649,0.35571,0.07854,0.09131,2015
4.033,0.75778,0.10384,0.07122,0.12344,2015
3.995,0.26074,0.38857,0.12352,0.18798,2015
3.989,0.67866,0.41466,0.11686,0.12388,2015
3.956,0.23906,0.22917,0.199,0.17441,2015
3.931,0.21102,0.45727,0.07267,0.29066,2015
3.904,0.36498,0.36772,0.10713,0.20843,2015
3.896,1.06024,0.31914,0.11091,0.06822,2015
3.845,0.0694,0.47692,0.15639,0.19387,2015
3.819,0.46038,0.66246,0.07247,0.40359,2015
3.781,0.2852,0.32878,0.05747,0.34377,2015
3.681,0.20824,0.19184,0.08124,0.21333,2015
3.678,0.0785,0.48879,0.08289,0.23835,2015
3.667,0.34193,0.23501,0.05269,0.18386,2015
3.656,0.17417,0.37725,0.12139,0.28657,2015
3.655,0.46534,0.46866,0.17922,0.20165,2015
3.587,0.25812,0.39493,0.12832,0.21747,2015
3.575,0.31982,0.23414,0.09719,0.3651,2015
3.465,0.22208,0.59201,0.55191,0.22628,2015
3.34,0.28665,0.4845,0.0801,0.1826,2015
3.006,0.6632,0.15684,0.18906,0.47179,2015
2.905,0.0153,0.1185,0.10062,0.19727,2015
2.839,0.20868,0.36453,0.10731,0.16681,2015
7.526,1.44178,0.57941,0.44453,0.36171,2016
7.509,1.52733,0.58557,0.41203,0.28083,2016
7.501,1.42666,0.56624,0.14975,0.47678,2016
7.498,1.57744,0.59609,0.35776,0.37895,2016
7.413,1.40598,0.57104,0.41004,0.25492,2016
7.404,1.44015,0.5737,0.31329,0.44834,2016
7.339,1.46468,0.55211,0.29927,0.47416,2016
7.334,1.36066,0.58147,0.41904,0.49401,2016
7.313,1.44443,0.56837,0.32331,0.47407,2016
7.291,1.45181,0.58218,0.40867,0.38254,2016
7.267,1.33766,0.36432,0.08728,0.32288,2016
7.119,1.45038,0.54355,0.21348,0.32865,2016
7.104,1.50796,0.48163,0.14868,0.41077,2016
7.087,1.06879,0.55225,0.10547,0.22553,2016
7.039,1.35943,0.46823,0.12275,0.22202,2016
6.994,1.44787,0.53466,0.28551,0.30452,2016
6.952,1.08754,0.40425,0.14166,0.15776,2016
6.929,1.42539,0.51354,0.26248,0.2424,2016
6.907,1.48341,0.54008,0.29754,0.44963,2016
6.871,1.69752,0.5487,0.35329,0.27571,2016
6.778,1.11508,0.37709,0.18355,0.11735,2016
6.739,1.64555,0.4877,0.46987,0.32706,2016
6.725,1.40283,0.50036,0.27399,0.50156,2016
6.705,1.2167,0.37789,0.11451,0.31595,2016
6.701,1.18306,0.48927,0.08423,0.2418,2016
6.65,1.15137,0.42284,0.07296,0.10989,2016
6.596,1.30915,0.41418,0.03986,0.09929,2016
6.573,1.57352,0.56215,0.35561,0.26591,2016
6.545,1.18157,0.54388,0.21394,0.18056,2016
6.488,1.30782,0.54994,0.17554,0.56237,2016
6.481,1.03032,0.44735,0.05399,0.15626,2016
6.478,1.39488,0.46562,0.17808,0.1216,2016
6.474,1.0893,0.49553,0.02833,0.58696,2016
6.379,1.48953,0.37904,0.30008,0.15457,2016
6.379,1.39729,0.32377,0.0663,0.25495,2016
6.375,1.82427,0.56679,0.48049,0.32388,2016
6.361,1.34253,0.37545,0.06137,0.17665,2016
6.355,1.05266,0.21006,0.16157,0.07044,2016
6.324,0.83454,0.50379,0.08701,0.28808,2016
6.269,1.09686,0.52234,0.12692,0.16665,2016
6.239,1.61714,0.43166,0.23669,0.15965,2016
6.218,1.44024,0.47375,0.25772,0.17147,2016
6.168,1.32572,0.48453,0.01241,0.31935,2016
6.084,1.13367,0.19847,0.08304,0.0425,2016
6.078,1.27973,0.23391,0.02947,0.13837,2016
6.068,0.8737,0.37269,0.10613,0.08877,2016
6.005,1.25142,0.39031,0.09081,0.41474,2016
5.992,0.69384,0.46582,0.16292,0.29773,2016
5.987,0.73591,0.60848,0.28333,0.34326,2016
5.977,1.35495,0.18827,0.02556,0.16684,2016
5.976,0.97306,0.4027,0.18037,0.10074,2016
5.956,0.87616,0.51231,0.10771,0.23684,2016
5.921,1.38007,0.46761,0.18985,0.10224,2016
5.919,1.22943,0.4052,0.11132,0.15011,2016
5.897,0.69177,0.25202,0.01903,0.19997,2016
5.856,1.23228,0.32682,0.03586,0.02736,2016
5.835,1.24585,0.4519,0.055,0.14443,2016
5.835,1.35948,0.25168,0.07716,0.18824,2016
5.822,0.79422,0.50961,0.07746,0.21698,2016
5.813,1.2692,0.18929,0.0182,0.02025,2016
5.802,1.13062,0.29091,0.17457,0.13942,2016
5.771,1.31141,0.43596,0.16578,0.26322,2016
5.768,1.29947,0.53164,0.03635,0.25738,2016
5.743,0.99602,0.37502,0.05292,0.14527,2016
5.658,1.08017,0.37408,0.28467,0.22567,2016
5.648,1.14372,0.46145,0.05203,0.36951,2016
5.615,1.06688,0.40672,0.10339,0.17087,2016
5.56,1.21788,0.27996,0.0889,0.17445,2016
5.546,1.31857,0.29507,0.05228,0.27906,2016
5.538,0.89373,0.46235,0.07396,0.25296,2016
5.528,1.1697,0.36712,0.00679,0.12889,2016
5.517,1.27964,0.41511,0.18519,0.08423,2016
5.51,0.89333,0.43597,0.04294,0.22245,2016
5.488,1.18649,0.23907,0.04002,0.18434,2016
5.458,1.5107,0.48079,0.31647,0.40097,2016
5.44,0.0,0.56778,0.3118,0.27225,2016
5.401,0.90145,0.14396,0.06547,0.27992,2016
5.389,1.16492,0.23889,0.12348,0.04707,2016
5.314,0.95104,0.39237,0.00322,0.56521,2016
5.303,0.99673,0.36023,0.13297,0.14262,2016
5.291,1.12373,0.35327,0.17914,0.0564,2016
5.279,0.81217,0.54854,0.11757,0.21674,2016
5.245,1.0278,0.44012,0.02745,0.04959,2016
5.196,0.8527,0.46074,0.1616,0.48546,2016
5.185,0.56044,0.40212,0.04762,0.38432,2016
5.177,1.03437,0.15718,0.04339,0.20737,2016
5.163,0.93383,0.09511,0.0,0.29889,2016
5.161,1.07838,0.15111,0.12721,0.17191,2016
5.155,1.02787,0.52259,0.12372,0.21286,2016
5.151,0.84058,0.25646,0.08404,0.04053,2016
5.145,1.24142,0.1977,0.04472,0.099,2016
5.132,0.68816,0.14622,0.1388,0.31185,2016
5.129,1.12268,0.26228,0.03061,0.23693,2016
5.123,1.27607,0.44727,0.01521,0.11691,2016
5.121,1.0193,0.27668,0.07047,0.23507,2016
5.061,0.74037,0.55954,0.11556,0.25075,2016
5.057,0.25558,0.3913,0.36794,0.51479,2016
5.045,0.97724,0.23553,0.0817,0.03936,2016
5.033,1.24886,0.05822,0.04127,0.0,2016
4.996,0.48835,0.43408,0.13509,0.25998,2016
4.907,0.98853,0.35972,0.03285,0.34539,2016
4.876,0.68042,0.52168,0.22423,0.43079,2016
4.875,0.75216,0.27854,0.0305,0.23219,2016
4.871,0.69429,0.26755,0.06906,0.2044,2016
4.813,1.11758,0.22544,0.0557,0.38538,2016
4.795,0.61202,0.42662,0.11479,0.17866,2016
4.793,0.44626,0.37012,0.07008,0.3816,2016
4.754,0.67024,0.17744,0.10613,0.11154,2016
4.655,0.9553,0.31866,0.05301,0.1684,2016
4.643,0.54177,0.39778,0.12583,0.19132,2016
4.635,0.36485,0.30685,0.08196,0.23897,2016
4.575,1.07474,0.24856,0.13636,0.19589,2016
4.574,0.93287,0.48614,0.10398,0.07795,2016
4.513,0.52497,0.42736,0.06126,0.2268,2016
4.508,0.29283,0.36703,0.1717,0.29522,2016
4.459,1.02416,0.42483,0.08415,0.13656,2016
4.415,0.97318,0.50817,0.07964,0.46978,2016
4.404,0.74036,0.40285,0.08722,0.25028,2016
4.395,0.34112,0.42692,0.20243,0.81971,2016
4.362,0.95395,0.18847,0.10393,0.12706,2016
4.36,0.86086,0.14037,0.03616,0.07793,2016
4.356,0.52267,0.40576,0.06686,0.41328,2016
4.324,0.87287,0.12859,0.01829,0.20363,2016
4.276,0.63107,0.40973,0.0326,0.21203,2016
4.272,0.05661,0.15602,0.06075,0.25458,2016
4.252,0.83792,0.32461,0.3188,0.06786,2016
4.236,0.77109,0.37938,0.09753,0.12077,2016
4.219,0.44314,0.31056,0.11681,0.19103,2016
4.217,1.11306,0.21219,0.00615,0.12793,2016
4.201,0.61391,0.1268,0.17955,0.22686,2016
4.193,0.35041,0.25429,0.08582,0.18503,2016
4.156,0.08709,0.4143,0.07564,0.30968,2016
4.139,0.63069,0.0,0.10039,0.18077,2016
4.121,1.15851,0.28098,0.09314,0.06244,2016
4.073,0.31292,0.27544,0.13647,0.21064,2016
4.028,0.34097,0.12072,0.14476,0.47958,2016
3.974,1.09426,0.44089,0.10769,0.12425,2016
3.956,0.27509,0.15412,0.18437,0.1827,2016
3.916,0.55507,0.40663,0.1553,0.20338,2016
3.907,0.55604,0.58852,0.08092,0.40339,2016
3.866,0.84731,0.00589,0.08434,0.12071,2016
3.856,0.1327,0.38041,0.17176,0.2097,2016
3.832,0.39394,0.19662,0.13015,0.25899,2016
3.763,0.42214,0.12807,0.04952,0.18667,2016
3.739,0.31995,0.3337,0.12533,0.24353,2016
3.739,0.34719,0.43653,0.06442,0.27102,2016
3.724,0.57939,0.2287,0.05892,0.09821,2016
3.695,0.27954,0.13684,0.07506,0.2204,2016
3.666,0.47155,0.3176,0.05099,0.31472,2016
3.622,0.10706,0.25748,0.04852,0.24063,2016
3.607,0.22415,0.30953,0.1192,0.29914,2016
3.515,0.32846,0.5432,0.50521,0.23552,2016
3.484,0.39499,0.39747,0.06681,0.2018,2016
3.36,0.38227,0.1643,0.07112,0.31268,2016
3.303,0.28123,0.34678,0.11587,0.17517,2016
3.069,0.74719,0.06912,0.17233,0.48397,2016
2.905,0.06831,0.0432,0.09419,0.2029,2016
7.53700017929077,1.61646318435669,0.635422587394714,0.315963834524155,0.36201223731041,2017
7.52199983596802,1.48238301277161,0.626006722450256,0.40077006816864,0.355280488729477,2017
7.50400018692017,1.480633020401,0.627162635326385,0.153526559472084,0.475540220737457,2017
7.49399995803833,1.56497955322266,0.620070576667786,0.367007285356522,0.290549278259277,2017
7.4689998626709,1.44357192516327,0.617950856685638,0.38261154294014,0.24548277258873,2017
7.3769998550415,1.50394463539124,0.585384488105774,0.282661825418472,0.470489829778671,2017
7.31599998474121,1.47920441627502,0.611100912094116,0.287371516227722,0.435539722442627,2017
7.31400012969971,1.40570604801178,0.614062130451202,0.382816702127457,0.500005125999451,2017
7.28399991989136,1.49438726902008,0.612924098968506,0.384398728609085,0.385399252176285,2017
7.28399991989136,1.484414935112,0.601607382297516,0.301183730363846,0.477699249982834,2017
7.21299982070923,1.37538242340088,0.405988603830338,0.0852421000599861,0.330082654953003,2017
7.0789999961853,1.10970628261566,0.580131649971008,0.100106589496136,0.214613229036331,2017
